Kaynak Pin,Net,Bagli Oldugu Pinler
U2.41,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U2.5,NC__U2__5,-
U2.6,SYS,"C3.1, U2.13, U2.17, U2.23, U2.24, U2.34, U2.7"
U2.7,SYS,"C3.1, U2.13, U2.17, U2.23, U2.24, U2.34, U2.6"
U2.8,NC__U2__8,-
U2.9,NC__U2__9,-
U3.1,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U3.10,I2S_LRCK,"U1.26, U4.8"
U3.11,I2S_DIN,U1.18
U3.12,NC__U3__12,-
U3.13,NC__U3__13,-
U3.14,NC__U3__14,-
U3.15,MIC1N,-
U3.16,MIC1P,MK1.4
U3.17,ES7210_REFP12,-
U3.18,ES7210_REFQ12,-
U3.19,MIC2P,MK2.4
U3.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U3.20,MIC2N,-
U3.21,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
U3.22,MIC_3V3,"C8.1, C11.1, U2.19, U3.23, U3.6, U3.7"
U3.23,MIC_3V3,"C8.1, C11.1, U2.19, U3.22, U3.6, U3.7"
U3.24,MICBIAS,"MK1.6, MK2.6"
U3.25,ES7210_REFQM,-
U3.26,NC__U3__26,-
U3.27,NC__U3__27,-
U3.28,NC__U3__28,-
U3.29,NC__U3__29,-
U3.3,I2C_SDA,"J2.11, R6.1, U1.8, U2.39, U4.19"
U3.30,NC__U3__30,-
U3.31,AEC_P,-
U3.32,AEC_N,-
U3.33,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.8, U4.10, U4.21, U4.5, U5.7"
U3.4,I2C_SCL,"J2.10, R7.1, U1.22, U2.40, U4.1"
U3.5,I2S_MCLK,"U1.9, U4.2"
U3.6,MIC_3V3,"C8.1, C11.1, U2.19, U3.22, U3.23, U3.7"
U3.7,MIC_3V3,"C8.1, C11.1, U2.19, U3.22, U3.23, U3.6"
